Week,VisTm,HomeTm
1,HOU Texans,KC Chiefs
1,SEA Seahawks,ATL Falcons
1,NY Jets,BUF Bills
1,LV Raiders,CAR Panthers
1,CHI Bears,DET Lions
1,IND Colts,JAX Jaguars
1,GB Packers,MIN Vikings
1,MIA Dolphins,NE Patriots
1,CLE Browns,BAL Ravens
1,PHI Eagles,WAS Football Team
1,LA Chargers,CIN Bengals
1,TB Buccaneers,NO Saints
1,ARI Cardinals,SF 49ers
1,DAL Cowboys,LA Rams
1,PIT Steelers,NY Giants
1,TEN Titans,DEN Broncos
2,CIN Bengals,CLE Browns
2,NY Giants,CHI Bears
2,MIN Vikings,IND Colts
2,ATL Falcons,DAL Cowboys
2,DET Lions,GB Packers
2,BUF Bills,MIA Dolphins
2,SF 49ers,NY Jets
2,JAX Jaguars,TEN Titans
2,LA Rams,PHI Eagles
2,DEN Broncos,PIT Steelers
2,CAR Panthers,TB Buccaneers
2,WAS Football Team,ARI Cardinals
2,BAL Ravens,HOU Texans
2,KC Chiefs,LA Chargers
2,NE Patriots,SEA Seahawks
2,NO Saints,LV Raiders
3,MIA Dolphins,JAX Jaguars
3,CHI Bears,ATL Falcons
3,LA Rams,BUF Bills
3,WAS Football Team,CLE Browns
3,TEN Titans,MIN Vikings
3,LV Raiders,NE Patriots
3,SF 49ers,NY Giants
3,CIN Bengals,PHI Eagles
3,HOU Texans,PIT Steelers
3,NY Jets,IND Colts
3,CAR Panthers,LA Chargers
3,DET Lions,ARI Cardinals
3,TB Buccaneers,DEN Broncos
3,DAL Cowboys,SEA Seahawks
3,GB Packers,NO Saints
3,KC Chiefs,BAL Ravens
4,DEN Broncos,NY Jets
4,ARI Cardinals,CAR Panthers
4,IND Colts,CHI Bears
4,JAX Jaguars,CIN Bengals
4,CLE Browns,DAL Cowboys
4,NO Saints,DET Lions
4,MIN Vikings,HOU Texans
4,SEA Seahawks,MIA Dolphins
4,PIT Steelers,TEN Titans
4,LA Chargers,TB Buccaneers
4,BAL Ravens,WAS Football Team
4,NY Giants,LA Rams
4,NE Patriots,KC Chiefs
4,BUF Bills,LV Raiders
4,PHI Eagles,SF 49ers
4,ATL Falcons,GB Packers
5,TB Buccaneers,CHI Bears
5,CAR Panthers,ATL Falcons
5,JAX Jaguars,HOU Texans
5,LV Raiders,KC Chiefs
5,DEN Broncos,NE Patriots
5,ARI Cardinals,NY Jets
5,BUF Bills,TEN Titans
5,PHI Eagles,PIT Steelers
5,CIN Bengals,BAL Ravens
5,LA Rams,WAS Football Team
5,MIA Dolphins,SF 49ers
5,IND Colts,CLE Browns
5,NY Giants,DAL Cowboys
5,MIN Vikings,SEA Seahawks
5,LA Chargers,NO Saints
6,KC Chiefs,BUF Bills
6,CHI Bears,CAR Panthers
6,CIN Bengals,IND Colts
6,DET Lions,JAX Jaguars
6,ATL Falcons,MIN Vikings
6,WAS Football Team,NY Giants
6,HOU Texans,TEN Titans
6,BAL Ravens,PHI Eagles
6,CLE Browns,PIT Steelers
6,MIA Dolphins,DEN Broncos
6,NY Jets,LA Chargers
6,GB Packers,TB Buccaneers
6,LA Rams,SF 49ers
6,ARI Cardinals,DAL Cowboys
7,NY Giants,PHI Eagles
7,DET Lions,ATL Falcons
7,CLE Browns,CIN Bengals
7,GB Packers,HOU Texans
7,LA Chargers,MIA Dolphins
7,CAR Panthers,NO Saints
7,BUF Bills,NY Jets
7,PIT Steelers,BAL Ravens
7,DAL Cowboys,WAS Football Team
7,SEA Seahawks,ARI Cardinals
7,KC Chiefs,DEN Broncos
7,SF 49ers,NE Patriots
7,TB Buccaneers,LV Raiders
7,CHI Bears,LA Rams
8,ATL Falcons,CAR Panthers
8,NE Patriots,BUF Bills
8,TEN Titans,CIN Bengals
8,LV Raiders,CLE Browns
8,IND Colts,DET Lions
8,MIN Vikings,GB Packers
8,NY Jets,KC Chiefs
8,LA Rams,MIA Dolphins
8,JAX Jaguars,LA Chargers
8,NO Saints,CHI Bears
8,SF 49ers,SEA Seahawks
8,DAL Cowboys,PHI Eagles
8,TB Buccaneers,NY Giants
9,GB Packers,SF 49ers
9,DEN Broncos,ATL Falcons
9,SEA Seahawks,BUF Bills
9,BAL Ravens,IND Colts
9,HOU Texans,JAX Jaguars
9,CAR Panthers,KC Chiefs
9,DET Lions,MIN Vikings
9,CHI Bears,TEN Titans
9,NY Giants,WAS Football Team
9,LV Raiders,LA Chargers
9,MIA Dolphins,ARI Cardinals
9,PIT Steelers,DAL Cowboys
9,NO Saints,TB Buccaneers
9,NE Patriots,NY Jets
10,IND Colts,TEN Titans
10,TB Buccaneers,CAR Panthers
10,HOU Texans,CLE Browns
10,WAS Football Team,DET Lions
10,JAX Jaguars,GB Packers
10,PHI Eagles,NY Giants
10,CIN Bengals,PIT Steelers
10,BUF Bills,ARI Cardinals
10,NY Jets,MIA Dolphins
10,DEN Broncos,LV Raiders
10,SF 49ers,NO Saints
10,SEA Seahawks,LA Rams
10,BAL Ravens,NE Patriots
10,MIN Vikings,CHI Bears
11,ARI Cardinals,SEA Seahawks
11,DET Lions,CAR Panthers
11,PHI Eagles,CLE Browns
11,GB Packers,IND Colts
11,NE Patriots,HOU Texans
11,PIT Steelers,JAX Jaguars
11,ATL Falcons,NO Saints
11,TEN Titans,BAL Ravens
11,CIN Bengals,WAS Football Team
11,LA Chargers,DEN Broncos
11,DAL Cowboys,MIN Vikings
11,KC Chiefs,LV Raiders
11,LA Rams,TB Buccaneers
12,HOU Texans,DET Lions
12,WAS Football Team,DAL Cowboys
12,BAL Ravens,PIT Steelers
12,LV Raiders,ATL Falcons
12,LA Chargers,BUF Bills
12,NY Giants,CIN Bengals
12,TEN Titans,IND Colts
12,CLE Browns,JAX Jaguars
12,CAR Panthers,MIN Vikings
12,ARI Cardinals,NE Patriots
12,MIA Dolphins,NY Jets
12,NO Saints,DEN Broncos
12,SF 49ers,LA Rams
12,KC Chiefs,TB Buccaneers
12,CHI Bears,GB Packers
12,SEA Seahawks,PHI Eagles
13,DAL Cowboys,BAL Ravens
13,NO Saints,ATL Falcons
13,DET Lions,CHI Bears
13,IND Colts,HOU Texans
13,CIN Bengals,MIA Dolphins
13,JAX Jaguars,MIN Vikings
13,LV Raiders,NY Jets
13,CLE Browns,TEN Titans
13,WAS Football Team,PIT Steelers
13,LA Rams,ARI Cardinals
13,NY Giants,SEA Seahawks
13,PHI Eagles,GB Packers
13,NE Patriots,LA Chargers
13,DEN Broncos,KC Chiefs
13,BUF Bills,SF 49ers
14,NE Patriots,LA Rams
14,DEN Broncos,CAR Panthers
14,HOU Texans,CHI Bears
14,DAL Cowboys,CIN Bengals
14,GB Packers,DET Lions
14,TEN Titans,JAX Jaguars
14,KC Chiefs,MIA Dolphins
14,ARI Cardinals,NY Giants
14,MIN Vikings,TB Buccaneers
14,IND Colts,LV Raiders
14,NY Jets,SEA Seahawks
14,NO Saints,PHI Eagles
14,ATL Falcons,LA Chargers
14,WAS Football Team,SF 49ers
14,PIT Steelers,BUF Bills
14,BAL Ravens,CLE Browns
15,LA Chargers,LV Raiders
15,TB Buccaneers,ATL Falcons
15,HOU Texans,IND Colts
15,BUF Bills,DEN Broncos
15,CAR Panthers,GB Packers
15,NE Patriots,MIA Dolphins
15,CHI Bears,MIN Vikings
15,CLE Browns,NY Giants
15,DET Lions,TEN Titans
15,NY Jets,LA Rams
15,JAX Jaguars,BAL Ravens
15,SEA Seahawks,WAS Football Team
15,PHI Eagles,ARI Cardinals
15,KC Chiefs,NO Saints
15,SF 49ers,DAL Cowboys
15,PIT Steelers,CIN Bengals
16,MIN Vikings,NO Saints
16,SF 49ers,ARI Cardinals
16,TB Buccaneers,DET Lions
16,CIN Bengals,HOU Texans
16,CHI Bears,JAX Jaguars
16,ATL Falcons,KC Chiefs
16,CLE Browns,NY Jets
16,IND Colts,PIT Steelers
16,MIA Dolphins,LV Raiders
16,NY Giants,BAL Ravens
16,DEN Broncos,LA Chargers
16,CAR Panthers,WAS Football Team
16,LA Rams,SEA Seahawks
16,PHI Eagles,DAL Cowboys
16,TEN Titans,GB Packers
16,BUF Bills,NE Patriots
17,MIA Dolphins,BUF Bills
17,NO Saints,CAR Panthers
17,GB Packers,CHI Bears
17,BAL Ravens,CIN Bengals
17,PIT Steelers,CLE Browns
17,JAX Jaguars,IND Colts
17,MIN Vikings,DET Lions
17,TEN Titans,HOU Texans
17,LA Chargers,KC Chiefs
17,NY Jets,NE Patriots
17,DAL Cowboys,NY Giants
17,WAS Football Team,PHI Eagles
17,ATL Falcons,TB Buccaneers
17,LV Raiders,DEN Broncos
17,ARI Cardinals,LA Rams
17,SEA Seahawks,SF 49ers
